"id","kjid","Kjsj","Kjdjs","kjsjzt","Kjjg","qq_now","tz_money","odds","zjje","add_time","start_time","edit_time","game_id"
"1","DXH18000001","1536889120","0","0","1,19,10,13","903","0","","0","1536889060","1536889110","1536889110","1"
"2","DXH18000002","1536889180","0","0","3,14,10,18","408","0","","0","1536889120","1536889170","1536889170","1"
"3","DXH18000003","1536889240","0","0","1,18,10,11","801","0","","0","1536889180","1536889230","1536889230","1"
"4","DXH18000004","1536889300","0","0","3,13,18","388","0","","0","1536889240","1536889290","1536889290","1"
"5","DXH18000005","1536889360","0","0","3,14,18,19","489","0","","0","1536889300","1536889350","1536889350","1"
"6","DXH18000006","1536889420","0","0","1,16,18,11","681","0","","0","1536889360","1536889410","1536889410","1"
"7","DXH18000007","1536889480","0","0","1,15,13","553","0","","0","1536889420","1536889470","1536889470","1"
"8","DXH18000008","1536889541","0","0","3,11,17","177","0","","0","1536889481","1536889530","1536889530","1"
"9","DXH18000009","1536889600","0","0","2,14,12","424","0","","0","1536889540","1536889590","1536889590","1"
"10","DXH18000010","1536889661","0","0","1,18,12","882","0","","0","1536889601","1536889650","1536889650","1"
"11","DXH18000011","1536889720","0","0","1,18,14,16","846","0","","0","1536889660","1536889710","1536889710","1"
"12","DXH18000012","1536889780","0","0","1,16,17,11","671","0","","0","1536889720","1536889770","1536889770","1"
"13","DXH18000013","1536889840","0","0","2,11,12","121","0","","0","1536889780","1536889830","1536889830","1"
"14","DXH18000014","1536889901","0","0","1,18,15","855","0","","0","1536889841","1536889890","1536889890","1"
"15","DXH18000015","1536889960","0","0","1,15,16,11","561","0","","0","1536889900","1536889950","1536889950","1"
"16","DXH18000016","1536890021","0","0","3,13,10,14","304","0","","0","1536889961","1536890010","1536890010","1"
"17","DXH18000017","1536890080","0","0","3,12,14,19","249","0","","0","1536890020","1536890070","1536890070","1"
"18","DXH18000018","1536890141","0","0","1,15,12,14","524","0","","0","1536890081","1536890130","1536890130","1"
"19","DXH18000019","1536890200","0","0","1,19,13,17","937","0","","0","1536890140","1536890190","1536890190","1"
"20","DXH18000020","1536890261","0","0","1,14,13,12","432","0","","0","1536890201","1536890250","1536890250","1"
"21","DXH18000021","1536890320","0","0","2,10,11","10","0","","0","1536890260","1536890310","1536890310","1"
"22","DXH18000022","1536890381","0","0","3,12,14,18","248","0","","0","1536890321","1536890370","1536890370","1"
"23","DXH18000023","1536890440","0","0","1,18,16,12","862","0","","0","1536890380","1536890430","1536890430","1"
"24","DXH18000024","1536890500","0","0","1,12,10","220","0","","0","1536890440","1536890490","1536890490","1"
"25","DXH18000025","1536890561","0","0","3,12,16","266","0","","0","1536890501","1536890550","1536890550","1"
"26","DXH18000026","1536890620","0","0","2,16,10","606","0","","0","1536890560","1536890610","1536890610","1"
"27","DXH18000027","1536890681","0","0","1,18,16,12","862","0","","0","1536890621","1536890670","1536890670","1"
"28","DXH18000028","1536890740","0","0","2,13,17","373","0","","0","1536890680","1536890730","1536890730","1"
"29","DXH18000029","1536890801","0","0","3,13,12,18","328","0","","0","1536890741","1536890790","1536890790","1"
"30","DXH18000030","1536890860","0","0","3,11,17","117","0","","0","1536890800","1536890850","1536890850","1"
"31","DXH18000031","1536890920","0","0","1,18,11,14","814","0","","0","1536890860","1536890910","1536890910","1"
"32","DXH18000032","1536890981","0","0","3,11,19","199","4","","2","1536890921","1536890970","1536890970","1"
"33","DXH18000033","1536891040","0","0","3,13,16,14","364","0","","0","1536890980","1536891030","1536891030","1"
"34","DXH18000034","1536891101","0","0","1,18,12,13","823","0","","0","1536891041","1536891090","1536891090","1"
"35","DXH18000035","1536891160","0","0","3,17,16,18","768","0","","0","1536891100","1536891150","1536891150","1"
"36","DXH18000036","1536891220","0","0","1,19,17,18","978","0","","0","1536891160","1536891210","1536891210","1"
"37","DXH18000037","1536891280","0","0","3,12,10,18","208","0","","0","1536891220","1536891270","1536891270","1"
"38","DXH18000038","1536891341","0","0","1,15,10,11","501","0","","0","1536891281","1536891330","1536891330","1"
"39","DXH18000039","1536891400","0","0","3,11,19,18","198","0","","0","1536891340","1536891390","1536891390","1"
"40","DXH18000040","1536891460","0","0","1,18,10,14","804","0","","0","1536891400","1536891450","1536891450","1"
"41","DXH18000041","1536891520","0","0","1,14,19,11","491","0","","0","1536891460","1536891510","1536891510","1"
"42","DXH18000042","1536891580","0","0","2,17,16","767","0","","0","1536891520","1536891570","1536891570","1"
"43","DXH18000043","1536891640","0","0","3,14,15","455","0","","0","1536891580","1536891630","1536891630","1"
"44","DXH18000044","1536891700","0","0","1,19,12,13","923","0","","0","1536891640","1536891690","1536891690","1"
"45","DXH18000045","1536891761","0","0","1,19,14,11","941","0","","0","1536891701","1536891750","1536891750","1"
"46","DXH18000046","1536891820","0","0","2,13,16","363","0","","0","1536891760","1536891810","1536891810","1"
"47","DXH18000047","1536891880","0","0","1,18,16","886","0","","0","1536891820","1536891870","1536891870","1"
"48","DXH18000048","1536891940","0","0","1,18,13,11","831","0","","0","1536891880","1536891930","1536891930","1"
"49","DXH18000049","1536892001","0","0","3,12,16","226","0","","0","1536891941","1536891990","1536891990","1"
"50","DXH18000050","1536892060","0","0","1,12,18,10","280","0","","0","1536892000","1536892050","1536892050","1"
"51","DXH18000051","1536892121","0","0","1,18,14,10","840","0","","0","1536892061","1536892110","1536892110","1"
"52","DXH18000052","1536892180","0","0","2,13,15","353","0","","0","1536892120","1536892170","1536892170","1"
"53","DXH18000053","1536892241","0","0","1,17,19,13","793","0","","0","1536892181","1536892230","1536892230","1"
"54","DXH18000054","1536892300","0","0","1,16,11,10","610","0","","0","1536892240","1536892290","1536892290","1"
"55","DXH18000055","1536892360","0","0","1,19,18,16","986","0","","0","1536892300","1536892350","1536892350","1"
"56","DXH18000056","1536892420","0","0","3,17,14,18","748","0","","0","1536892360","1536892410","1536892410","1"
"57","DXH18000057","1536892480","0","0","3,13,11,17","317","0","","0","1536892420","1536892470","1536892470","1"
